id;Area;MajorAxisLength;MinorAxisLength;Eccentricity;ConvexArea;EquivDiameter;Extent;Perimeter;Roundness;AspectRation
1;4537;922293165;6401276874;0.719916226;4677;7600452496;0.657536232;273085;0.764509615;1440795615
2;2872;7469188071;5140045446;0.725552747;3015;6047101762;0.713008937;208317;0.831658201;1453136582
3;3048;762931638;5204349114;0.731210927;3132;6229634124;0.759153176;210012;0.868433574;1465950153
4;3073;7703362772;5192848667;0.738638695;3157;6255129991;0.783528812;210657;0.870203116;148345605
5;3693;8512478457;5637402054;0.749281579;3802;685716679;0.769375;230332;0.874743279;151000024
6;2990;7741707342;509543441;0.752860889;3080;6170077989;0.584898279;21693;0.798439143;1519341968
7;3556;8432356418;5541306133;0.753761573;3636;6728773901;0.750210971;227007;0.867147782;1521727227
8;3788;8695241143;5644476861;0.760664242;3866;6944804818;0.80067639;235476;0.85847279;1540486631
9;2629;7413311404;4807414422;0.761228217;2790;578562595;0.640594542;207325;0.768594199;1542057903
10;5719;1067211415;6897769987;0.763053057;5819;8533262539;0.754983498;281839;0.904748313;1547183245
11;2665;7436402121;4805318758;0.763177705;2777;5825103765;0.596730855;202456;0.817044617;1547535657
12;3231;813042004;524511359;0.764079502;3330;6413919994;0.614960031;218773;0.848319358;1550094178
13;2805;7704768244;4924267814;0.769107427;2950;5976150034;0.603225807;209823;0.800638639;1564652561
14;3265;8337848692;5276486452;0.77428629;3420;6447578703;0.575837743;227853;0.790284652;1580189539
15;4301;9491539197;5982281961;0.776371784;4427;7400137351;0.801229508;257607;0.814449173;1586608465
16;3393;8405848002;5295148583;0.776646824;3477;6572748113;0.68851461;224485;0.846094886;1587462159
17;3475;8458114773;531912048;0.777504169;3539;665169709;0.652214715;221295;0.891705551;1590134084
18;4577;9835854914;607533301;0.786435754;4652;7633883282;0.591725921;259184;0.856198377;1618982021
19;3028;8127755239;4916736189;0.796277419;3114;6209162054;0.753608761;211667;0.849296679;1653079386
20;3552;8802937756;5317603697;0.796930134;3654;6724988374;0.623705004;232122;0.82841931;165543321
21;3852;9220828955;5527701192;0.800389846;4023;7003226918;0.653989813;245517;0.803032283;1668112772
22;3163;8382327008;5002465547;0.802399543;3232;6346067034;0.584441981;22138;0.811021355;1675639128
